id,created,karma,about,submitted
0-_-0,2018-10-10 15:17:04,4231,,"{41680843,41056866,41054497,41018152,40499671,40341927,40181222,39622641,38251592,37734934,37222587,36543595,35022522,34946702,34937998,34775252,34773420,34767095,34764910,34239738,34038673,34026424,34026373,33546153,33393241,33388453,32936698,32863380,32059450,32054985,31425434,31420347,30225034,30224859,29794398,29794284,29783592,29762631,29761638,29758677,29749431,29702544,29694999,29691688,29681885,29672535,29648047,29598591,29597826,29528079,28680886,28609420,28603090,28594427,28591377,28591331,28591241,28578202,28571738,28568378,28566876,28565632,28562351,28558232,28558176,28558059,28554302,28553806,28553777,28550532,28541421,28538199,28536439,28532284,28531666,28522137,28521975,28517767,28512297,28509827,28509161,28505322,28505002,28502524,28501465,28500637,28500624,28493956,28493928,28493773,28484222,28484220,28479676,28478977,28472268,28472261,28469784,28468632,28468610,28467731,28461270,28460616,28458301,28458242,28456038,28455111,28454644,28454639,28454471,28444023,28436923,28436027,28435983,28434169,28434092,28434076,28433421,28431784,28428567,28428558,28413404,28409488,28408893,28408780,28408760,28405503,28404151,28404099,28403068,28403054,28401875,28401857,28397229,28394055,28381716,28377538,28377517,28377338,28370417,28370416,28370415,28370414,28370413,28370412,28366943,28360074,28357879,28328619,28327857,28327781,28325385,28317035,28312780,28299763,28299640,28295288,28295172,28292322,28292050,28292004,28291949,28291731,28291669,28291534,28279234,28278856,28273772,28265657,28263507,28260343,28139437,28139410,28132996,28106022,28097034,28096969,27977738,27977703,27973971,27903497,27899222,27898437,27895798,27895487,27895101,27869538,27858118,27858092,27854957,27854484,27854468,27848831,27848579,27838907,27837432,27832495,27831590,27827100,27822367,27815705,27808831,27808557,27801918,27792882,27792502,27792421,27785120,27784582,27775146,27770982,27764008,27763537,27762423,27760861,27753997,27749844,27749816,27747997,27747411,27747335,27742671,27739565,27733455,27733430,27730565,27729252,27729187,27728449,27728357,27725989,27723318,27720677,27720663,27718208,27711402,27710781,27710635,27705483,27697992,27697472,27697452,27694126,27691080,27686375,27682889,27679512,27678399,27678353,27669563,27651367,27642222,27640327,27634183,27632968,27630626,27610846,27605806,27581046,27579669,27573478,27565483,27565319,27558959,27558913,27558907,27553013,27534236,27528422,27518959,27514568,27514019,27513840,27513615,27513544,27513532,27507005,27501000,27491544,27491101,27487660,27486906,27475034,27472931,27472894,27470790,27470595,27467391,27467069,27466434,27466430,27462931,27462183,27459788,27445832,27445728,27436482,27436137,27416102,27415644,27415602,27413174,27411755,27405869,27405691,27403953,27397560,27397312,27395029,27379393,27379293,27378565,27366239,27355009,27353183,27352611,27352086,27347215,27315238,27307038,27304436,27301172,27300906,27291205,27291000,27290527,27289915,27288811,27288595,27288575,27288312,27288292,27288223,27274967,27264572,27264540,27262423,27259563,27258822,27254711,27253556,27236568,27223927,27221041,27219963,27219956,27219935,27219584,27218812,27213265,27189535,27181568,27172583,27172474,27168070,27168000,27163580,27158860,27158772,27129810,27129680,27109436,27106158,27104084,27094329,27091724,27085798,27078220,27076636,27076108,27075916,27075836,27075634,27074167,27073893,27073822,27073765,27070176,27070142,27061455,27061130,27060912,27060877,27048672,27043263,27042313,27036126,27035643,27035559,27035511,27035423,27023319,27014126,27013784,27010965,26953845,26953759,26941104,26941003,26940871,26933649,26931608,26924106,26919506,26919467,26903540,26901247,26872483,26872182,26865957,26861769,26860767,26851908,26846275,26843457,26839695,26831703,26818277,26817785,26810508,26806636,26806075,26806045,26805994,26805743,26805668,26804664,26804649,26804313,26794270,26790571,26782735,26782566,26778542,26777519,26777475,26774178,26771812,26768803,26768718,26768625,26762388,26750603,26750346,26750341,26748610,26748473,26748221,26748201,26748172,26718211,26713958,26712419,26711676,26704965,26692100,26691667,26670370,26663628,26659407,26659339,26659255,26659162,26658871,26648525,26645059,26641116,26601209,26594925,26570795,26568889,26557484,26540938,26538709,26514989,26513663,26505595,26464716,26450130,26434022,26423187,26411624,26397659,26397638,26386085,26376907,26376163,26376142,26372032,26364280,26360226,26330376,26327139,26310308,26305247,26302044,26284336,26284261,26283963,26274238,26273329,26253776,26248651,26248134,26222515,26206050,26194848,26193923,26191550,26191484,26144098,26144094,26136358,26112077,26081356,26080984,26075667,26066427,26063036,26054110,26050889,26048810,26048480,26045688,26036389,26016095,26013394,25971388,25967677,25967666,25960620,25960307,25959217,25957153,25951863,25951798,25951764,25951447,25930322,25891709,25890777,25884730,25877652,25876890,25870092,25857348,25857203,25849869,25840781,25839584,25839501,25836759,25834850,25834750,25822565,25812774,25801525,25801332,25797917,25791370,25790904,25790882,25789478,25789447,25789316,25789298,25789106,25789000,25788961,25764197,25746944,25740562,25740236,25740208,25740148,25735138,25730805,25717929,25700749,25699647,25699308,25687240,25686029,25683807,25683795,25683756,25683742,25675171,25675081,25664705,25664455,25664416,25664362,25657828,25643923,25612927,25611828,25588148,25582768,25582393,25581099,25570756,25570570,25562569,25558114,25555430,25550110,25550057,25542907,25536093,25535880,25528312,25516769,25496285,25485420,25470969,25469375,25469132,25468337,25467870,25467538,25466598,25460323,25457032,25455858,25442272,25417102,25415623,25373493,25345756,25344118,25332601,25322595,25313193,25313074,25309953,25309806,25302594,25296153,25292887,25287389,25287305,25279459,25277424,25256293,25256258,25234185,25211918,25211859,25208423,25197897,25197637,25197613,25189655,25189390,25189361,25188761,25182329,25178650,25177281,25177196,25173687,25172570,25169766,25169394,25169359,25168978,25168863,25163115,25162758,25159454,25153888,25153820,25153605,25153536,25150547,25149656,25149644,25140623,25140512,25136867,25125110,25122046,25122043,25122028,25112311,25104144,25101269,25093314,25091853,25091616,25084424,25082646,25080836,25076996,25076860,25072261,25071921,25068324,25068151,25064694,25058580,25057257,25057111,25054072,25052872,25047411,25038831,25038706,25037689,25033319,25033277,25033271,25033239,25030443,25028928,25024884,25009195,25008388,25007179,25007158,25006857,25003482,24997863,24997717,24978562,24978358,24974815,24968849,24968025,24958415,24955510,24955435,24947241,24947064,24936369,24922449,24920142,24919820,24918020,24917501,24912085,24908607,24908569,24879939,24868234,24867838,24867620,24864401,24860104,24850845,24842944,24842874,24830969,24830778,24829987,24829152,24825934,24825893,24821625,24821619,24809081,24805915,24799290,24789331,24788118,24786413,24786245,24780403,24779975,24766519,24754262,24752847,24752821,24742059,24737880,24728312,24728210,24722678,24722542,24722352,24720315,24719633,24713475,24710702,24710490,24710479,24709615,24700112,24688857,24683023,24657109,24651651,24630093,24615200,24614645,24605521,24605461,24576995,24573279,24569676,24568127,24565739,24565398,24541650,24541627,24516389,24515173,24515169,24491361,24491099,24480788,24480753,24474847,24468584,24459458,24452374,24451313,24451042,24448487,24442117,24442091,24425090,24424992,24422255,24414327,24414308,24414153,24411456,24410894,24410774,24409566,24409023,24408990,24407267,24402935,24402725,24399097,24398661,24390282,24382592,24379733,24379613,24375037,24374621,24374342,24374333,24373699,24369899,24369788,24369718,24362813,24359132,24351987,24348469,24341506,24340845,24322346,24322304,24316320,24299259,24298642,24294875,24294065,24293932,24293115,24293016,24292972,24292898,24292867,24292862,24292391,24292366,24291853,24285519,24276250,24259004,24258976,24258601,24251039,24242916,24230246,24226538,24217925,24196808,24196694,24182026,24181991,24161820,24161724,24156881,24141768,24103539,24102580,24102561,24092125,24086962,24007172,23938218,23938132,23875302,23873443,23873366,23872670,23871993,23862165,23853546,23844245,23830818,23815655,23797925,23793295,23790363,23772348,23769908,23768523,23748402,23748068,23748039,23747930,23700902,23689483,23679346,23670668,23663112,23654414,23654134,23650445,23638264,23625913,23612262,23607892,23602618,23601605,23578859,23574696,23574625,23574446,23567649,23553555,23553534,23540551,23534249,23525754,23525744,23505302,23452061,23451627,23418483,23418366,23417737,23414642,23391244,23390937,23371008,23368840,23368737,23364735,23364724,23359359,23356928,23352190,23348324,23348215,23335299,23323186,23316155,23313090,23312788,23310566,23310296,23305710,23302337,23299591,23295778,23274691,23266444,23264125,23257886,23244958,23234325,23233539,23227614,23202203,23202129,23202097,23202056,23201936,23191446,23153430,23085174,23054313,23050401,23050380,22977066,22908289,22906251,22901891,22897528,22887515,22868841,22812466,22811357,22768949,22768928,22746948,22735905,22735887,22723478,22722567,22683399,22666790,22638424,22638191,22620055,22594083,22559626,22556207,22545790,22535733,22535595,22535242,22534293,22517389,22512504,22512433,22463643,22456897,22454355,22441636,22441475,22396156,22390453,22374961,22374885,22374858,22374818,22374780,22347943,22325659,22317665,22317641,22317350,22281236,22245170,22191585,22168762,22167930,22167889,22163596,22163510,22163457,22118866,22116496,22106253,22105857,22073041,22073021,22053100,22010441,22000542,21991828,21991819,21983159,21979656,21964805,21912337,21905820,21892611,21830422,21823261,21799677,21795781,21780249,21771245,21771114,21770906,21754897,21726231,21702402,21692317,21588408,21588076,21582183,21578499,21576473,21566794,21564770,21558081,21545054,21544826,21544033,21537376,21536973,21534011,21497428,21493233,21485891,21485742,21468602,21465723,21462000,21443588,21430908,21408818,21407597,21373167,21368869,21368803,21359719,21326554,21311786,21307815,21306784,21302995,21298311,21291598,21289550,21269812,21268092,21261764,21257891,21257706,21234318,21232101,21217197,21217170,21191547,21179989,21172999,21146627,21137247,21130227,21130173,21130008,21129086,21128932,21120273,21080324,21080261,21079235,21079218,21059146,21048211,21040420,21036171,21029773,21026795,21015648,21015513,21015461,21005150,21005105,21004896,21001038,21001010,20993173,20982270,20973852,20969877,20960382,20960362,20940664,20897299,20896525,20896504,20879699,20870057,20869604,20865902,20865893,20860472,20836969,20829103,20829026,20809393,20798846,20767305,20755683,20715451,20714934,20713275,20713129,20675206,20675188,20635561,20634014,20624600,20599469,20575405,20535332,20534695,20533350,20528091,20488911,20476797,20420555,20419931,20371246,20348311,20319062,20318998,20307448,20222542,20197869,20197792,20197778,20173949,20168617,20149621,20145154,20144866,20131655,20062855,20043651,20001075,19999872,19980773,19863817,19858232,19848875,19848836,19839542,19820805,19807190,19796740,19768026,19764479,19761096,19755837,19747417,19722057,19717875,19690716,19690674,19672845,19658406,19596002,19595981,19595976,19571367,19571308,19564918,19528496,19525629,19512277,19482205,19448332,19444029,19433294,19424291,19400114,19398441,19380558,19367915,19367868,19359793,19342606,19331409,19327673,19270320,19259171,19245863,19198042,19197988,19197968,19057714,19018107,18968268,18963711,18952301,18930829,18822990,18720716,18714493,18708479,18706820,18705624,18655195,18655122,18610175,18606805,18598673,18468736,18369642,18366116,18346246,18346182,18340306,18339624,18336522,18332290,18330410,18326931,18326876,18294115,18284342,18283734,18283454,18283153,18282575,18282408,18282289,18262572,18262498,18255560,18240270,18239297,18238836,18237627,18237583,18203048,18185268}"
0______0,2022-01-10 19:47:25,20,,"{39393478,38214508,36247922,34703539,32239373,32239337,32239281,30069472,30069399}"
0_____0,2019-12-05 19:48:42,1996,,"{41808966,41802193,41778441,41766632,41766620,41766582,41766077,41766016,41761979,41730110,41730077,41727012,41727000,41700308,41691955,41681516,41195524,41190987,41187684,41164321,41154001,41110024,41079249,40872401,40868713,40868647,40868619,40868589,40867198,40840986,40803464,40718913,40664804,40653229,40647151,40647077,40518592,40518587,40518549,40518504,40518493,40511240,40490443,40490428,40465290,40458015,40191479,40191459,39949130,39945299,39936893,39901161,39867634,39867563,39867530,39850721,39675372,39675290,39656526,39633108,39632888,39632780,39632639,39632604,39631649,39631436,39625512,39625226,39625173,39608271,39608246,39608031,39606158,39600739,39597020,39595803,39595697,39594794,39594757,39551870,39551837,39551714,39551654,39551531,39550398,39550343,39550259,39543835,39534037,39517559,39496207,39489771,39468217,38634361,38533134,38489096,38489053,38488926,38448209,38272754,38270674,38268157,38267291,38265720,38265555,38251102,38149020,38147039,38146012,38145965,38145944,38136168,38127970,38127910,38115856,38105076,38103517,38095195,38069185,38013532,38004267,37984882,37984865,37919801,37919756,37918003,37872776,37870510,37870118,37851835,37774697,37718022,37692394,37559322,37552001,37549221,37484733,37481838,37472863,37461128,37461098,37452705,37438748,37438324,37433455,37433367,37420995,37049391,36938661,36938637,36938628,36880511,36880494,36877263,36763973,36763877,36763769,36702888,36668717,36475550,36404818,36404726,36404652,36404325,36382582,36331249,36330571,36329279,36329184,36288642,36282519,36244805,36241473,36233028,36232545,36232501,36231287,36229386,36216437,36108639,35914321,35838365,35838319,35833370,35833350,35832958,35817389,35816793,35816748,35816501,35816438,35816420,35815560,35815485,35815458,35815404,35815274,35803689,35768677,35715913,35695788,35654463,35653164,35648384,35647938,35636124,35636116,35605605,35594498,35545569,35482939,35482898,35340500,35340369,35339669,35333649,35306969,35288912,35245894,35226417,35221644,35121051,35114007,35109709,35098353,35084986,35078691,35068696,35060579,35027489,35004205,34984121,34973073,34970481,34902152,34891169,34889781,34831676,34791817,34769322,34683706,34678919,34678801,34626655,34406483,34281789,34278310,34242796,34231381,34206298,34187542,34134160,34093546,34093531,34076634,34052677,34052572,34016664,33871227,33866738,33865735,33861195,33845412,33837442,33835939,33810952,33810900,33711119,33631954,33631505,33631375,33631354,33631226,33567508,33566776,33458401,33363765,33360229,33321920,33272965,33250126,33250092,33197535,32999627,32977916,32201220,32059171,32057863,32057720,32057619,32027284,32006772,31923288,31914148,31913247,31912934,31912913,31400561,31388189,31375288,31339005,31314191,31254696,31254660,31226869,31204347,30925558,30626654,30591470,30584114,30583555,30579939,30578865,30560124,30559379,30559122,30559115,30559065,30559013,30503096,30503023,30431692,30431659,30431036,30427451,30398640,30377408,30376488,30376412,30376398,30374150,30374112,30374070,30366578,30366136,30308410,30288388,30276126,30246504,30211843,30209716,30064337,30059506,30023876,29937631,29937179,29911812,29909878,29908613,29897591,29897492,29897385,29897199,29897142,29896776,29896695,29896672,29896531,29896199,29843811,29843169,29843134,29840088,29831934,29830963,29800188,29797983,29797955,29790777,29787653,29787544,29605735,29598691,29598677,29598409,29596994,29586243,29566074,29556630,29554917,29552123,29551820,29542165,29511439,29461802,29410017,29409583,29409372,29396627,29332000,29235881,29235860,29096899,29093776,28880269,28819748,28711798,28711491,28683161,28664349,28660067,28659832,28659824,28637636,28630718,28628754,28622234,28621042,28541142,28540829,28492498,28258608,28223013,28132072,28091508,28061640,27971945,27971884,27711036,27661735,27581008,27529166,27528687,27528052,27527745,27527727,27516765,27516391,27516326,27516295,27514646,27514615,27510952,27468945,27389612,27354258,27324698,27324665,27324655,27324372,27083359,26973411,26929704,26929509,26921754,26921727,26921652,26904981,26902056,26849976,26837076,26733171,26720352,26701844,26700601,26649703,26649626,26627186,26625770,26624679,26623868,26616251,26605545,26586262,26585313,26537481,26537421,26526464,26502813,26478082,26477180,26342185,26341636,26333391,26332921,26332819,26332722,26332359,26331574,26298030,26263072,26260114,26259044,26250234,26244002,26206491,26194637,26189761,26185786,26177325,26173231,26172063,26170702,26146828,26146797,26146755,26142275,26124096,26092962,26091428,26065144,26026361,26025821,26015114,25887646,25851237,25812687,25811567,25795556,25749320,25732194,25706980,25688012,25681851,25490757,25489370,25448268,25429579,25360238,25305593,25305269,25297979,25295778,25264365,25263028,25257325,25247776,25247766,25247746,25246901,25237630,25222056,25184284,25151309,25095238,25078552,25067434,25060111,25040447,25039583,25036772,25006611,24959746,24959709,24945223,24944511,24937588,24809572,24783529,24694702,24694676,24679639,24675282,24675221,24675192,24658772,24657969,24572350,24529520,24502393,24456062,24332700,24268549,24267975,24116435,24116410,24112710,24099990,24099939,23960096,23944393,23929987,23880512,23856818,23852756,23806911,23788893,23716716,23715095,23366841,23320017,23319756,23134089,22925293,22691338,22506786,22506743,22479281,22471415,22471399,22470551,22458120,22339484,22310577,22285156,22047786,21989841,21900775,21884779,21833080}"
0___0,2022-02-02 09:24:13,512,,"{40221437,38554009,38553901,37885439,37841635,37568342,37519678,36984252,36389767,36173623,36136820,36136819,35924873,34737705,34472569,34062378,33761674,33731883,32923993,32710276,30611225,30568623,30476061,30176489}"
0__0,2014-11-28 23:23:04,1,,{8672503}
0_00_0,2015-09-03 02:32:55,38,,"{11355430,11060169,11059937,10977648,10928696,10878608,10878417,10812948,10789997,10775793,10769553,10769486,10769465,10769336,10721693,10693515,10544902,10476613,10162995,10162951}"
00__00,2014-01-14 23:20:47,91,,"{38460294,38179196,36312435,35340689,34804041,34804005,34803556,34568672,34496909,34248049,31147521,31130614,31130610,30693916,30668130,30668129,29151841,28291787,27756066,25841576,25436785,25164542,25083156,24937215,24890950,24890932,23502627,23442632,23368948,23013669,23013660,22933827,22350283,22146860,22113078,20219299,20022894,19053926,18633565,18515518,18451715,18378426,18323230,17794039,17791094,17791076,17317004,17317002,17159761,17156345,16651725,15892325,15863372,15858232,15851605,15851597,15770380,15614230,15609822,15383314,15360274,15360265,11978916,11919844,11910653,11910534,11727486,11722285,11713597,11694427,11610793,11604389,7060581,7060512}"
0x00000000,2017-01-04 19:22:03,1289,,"{41650673,40243014,40078527,40078161,38863245,37237184,36887968,36699234,35936304,35102539,33390097,33385252,33379466,33345085,33124392,32166979,32134863,32004816,31734227,31621513,31603501,31590538,29315410,29270446,29032550,28545866,28119498,28119362,27642875,25981873,25981723,25539909,25437099,25023030,24781259,24725684,24725561,24725537,24723882,24723849,24723076,24723049,24719680,24667567,24644788,24452536,24415984,24177302,24159222,24157561,24136492,24104281,24104247,24077780,24043064,24033690,24032940,23925972,23863309,23853636,23851833,23807986,23743403,23743388,23682480,23663696,23540720,23398208,23277722,23182214,23173116,23086424,22925590,22903319,22877881,22755458,22744494,22713586,22633856,22633679,22394779,22387987,22379466,22360710,22161896,22123303,22101122,21880872,21839436,21766823,21531136,21518692,21491951,21478782,21478259,21446913,21332948,21168704,21031645,20938318,20913853,20907562,20842351,20814856,20659014,20369422,20369038,19712790,19661313,19577974,19478454,19394565,19179123,18579282,18510648,18489763,18245241,18215495,18206347,18198498,18162376,18108893,17975173,17964751,17964585,17964187,17964143,17964073,17963977,17863671,17790313,17790182,17728748,17703269,17694489,17668139,17648064,17634805,17631007,17630212,17629129,17544733,17544702,17531558,17467370,17467342,17433150,17433080,17432536,17428977,17420992,17412203,17383803,17332225,17316802,17288516,17223640,17210466,17209869,17206635,17205374,17193426,17184157,17166737,17137211,17130024,17123291,17122765,17113486,17108303,17101254,17094181,17051464,17017462,17016467,17016222,17015760,17015678,16952065,16952040,16936150,16899520,16862650,16814551,16805896,16805698,16784475,16573336,16572928,16572229,16503700,16489620,16457498,16417595,16405921,16405909,16381560,16355813,16145238,16102320,16101441,16101291,16101051,16057729,15936815,15891923,15814967,15814943,15814940,15813004,15812928,15777926,15750180,15749354,15615959,15614853,15523743,15503456,15200429,15067258,15030808,15030620,14996410,14774249,14740564,14727457,14706646,14683293,14682732,14678278,14616102,14577339,13583509,13406036,13350840}"
0x000000001,2021-07-10 12:41:20,201,,"{28854700,28853759,28853719,28853681,28853671,28851170,28847941,28847778,28843630,28833555,28819443,28819404,28814661,28806808,28798743,28798664,28785120,28785064,28781131,28766057,28739041,28739032,28738742,28737051,28727877,28714769,28712881,28705388,28701940,28682013,28675744,28675714,28671871,28666378,28660396,28660353,28652594,28649778,28649752,28649738,28646229,28646214,28645779,28633977,28633928,28630070,28630064,28627770,28627738,28609159,28609051,28606762,28601485,28601449,28599114,28599096,28597256,28586458,28583646,28583622,28578691,28577647,28571615,28538492,28537653,28537627,28524223,28524183,28498101,28496509,28494484,28487690,28486039,28474796,28456538,28456501,28452076,28447319,28447290,28425741,28424667,28423158,28423125,28419196,28407003,28403046,28323039,28320493,28304555,28292071,28287601,28256495,28251795,28235086,28223083,28214300,28148746,28146887,28144641,28134959,28134859,28133902,28119908,28119891,28100388,28100299,28080373,28065094,28060104,27973165,27792711}"
0x00000000dead,2021-12-06 16:13:44,1,,"{29470436,29461569,29461568}"
0x0000034386329,2020-01-26 14:35:48,4,,{22153178}
0x000007,2023-01-19 19:53:30,1,,{34444775}
0x0001111,2016-12-22 19:46:43,1,,"{15108130,13255424}"
0x0007,2014-02-22 15:13:53,5,,{7282287}
0x0007de,2023-01-24 21:29:41,1,,"{34746964,34745952}"
0x00101010,2019-01-14 13:22:22,-2,,"{37955262,36268096,35131579,34694195,33894382,31594401,31450635,31450585,31450564,30444094,25080120,23626975,18904108,18902743}"
0x001D,2014-04-21 13:35:25,8,Engineer,"{32383008,30029498,29829918,28980725,20444219,20442915,20142078,19576708,19576452,12842660,10130517}"
0x002A,2022-01-09 18:22:02,34,,"{41777510,41777314,41739603,41723992,41460163,39615302,39043164,31060889,30873531,30753035,30747979,30379438,30252956,30252913,30211732,30211654,30211323,30185248,30184815,30177123,30176339,30175884,30170266,30169728,30140796,30097977,30094357,30085771,29956569,29939991}"
0x003,2021-02-22 21:19:25,69,,"{26551800,26547976,26490090,26420352,26381189,26365069,26337441,26337166,26337102,26335973,26326241,26325053,26324484,26322607,26230914,26230840}"
0x004C,2019-07-23 08:30:00,18,,"{30425681,25747115,25744619}"
0x005ab01c,2017-06-20 12:12:03,-1,,{14678179}
0x008,2019-10-23 08:44:11,1044,meet.hn&#x2F;city&#x2F;de-Berlin,"{41826161,41463314,41437717,41431538,41383889,41378518,41345547,41345535,41332826,41332815,41318448,41318388,41318356,41317172,41314142,41307293,41159069,41159056,40616015,40616004,40615995,40065474,40049357,40049352,40038733,40038371,40038340,40038289,40038267,40038248,40038241,40038233,40038210,40038201,39984427,39971019,39970993,39967563,39967544,39958757,39825640,39825631,39825598,39815198,39742504,39555008,39521656,39521649,39520895,39520887,39520877,39516160,39510827,39418430,39418411,39407983,39404839,39402376,39286991,39286979,39286960,38686329,38600161,38600158,38076327,38018475,37987332,37987280,37987173,37977694,37926598,37867204,37867192,37867127,37867107,37832325,37832298,37831049,37831016,37813848,37734936,37729990,37725832,37725767,37725701,37611539,37554892,37506290,37109144,37016224,36984796,36984787,36984736,36983097,36860481,36860469,36389875,36337760,36308611,36037188,36037187,36029341,35960540,35860064,35852390,35597404,35588422,35588414,35568228,35568216,35568204,35567218,35563060,35545767,35545235,35484025,35483967,35483947,35024608,34944403,34791171,34790593,34790541,34790499,34790446,34786938,34772089,34772068,34772036,34771859,34761473,34761204,34757268,34736678,34705224,34705211,34665526,34665510,34592597,34550164,34538586,34538550,34504885,34487437,34450590,34397666,34389454,34389440,34336071,34288455,34237506,34217537,34217317,34190375,34159211,34129521,34116369,34116344,34114906,34114799,34105770,34104258,34086740,34055306,34055280,34042010,34041787,34037129,33900802,33899191,33828428,33828418,33771295,33730077,33730040,33730015,33532592,33448388,32396689,32394572,32394553,32235923,32163449,32149167,32149159,31723990,31714641,31714190,31714174,31579062,31578970,31524553,31523527,31521151,31520877,31515064,31484295,31482355,31475679,31475668,31466680,31455930,31455907,31455889,31455856,31455831,31455804,31408741,31402066,31338746,31337903,31337877,30966109,30625206,30597528,30597487,30589838,30540907,30452078,30438947,30396547,30387438,30358084,30357861,30225437,30160942,30160916,30160253,30160157,30160144,30159413,30159252,30154797,30152523,30152348,30152266,30124832,30121459,30121451,30121436,30121402,30121223,30120530,30098443,30082624,30054985,30054666,30047668,30047641,30047587,30047565,30047545,30047535,30024139,30019981,30019954,30019946,30013143,30013132,30013118,30010244,30007481,30006953,30006935,30006726,30006679,30006659,30006642,30006620,30000221,29997556,29975933,29968338,29947274,29945469,29945465,29911856,29904382,29903236,29888342,29757787,29757515,29757503,29757409,29723503,29647677,29630358,29612826,29603196,29571828,29566828,29429152,29428806,29413280,29413269,29413174,29413169,29402372,29373197,29373083,29372878,29372753,29367836,29364232,29332771,29329163,29309920,29309825,29282270,29181648,29179202,29179167,29158528,29158475,29140876,29140195,29140066,29128557,28917738,28903104,28703798,28703782,28703764,28472148,27994552,27982322,27982314,27929069,27830041,27792458,27781562,27771503,27758571,27758551,27747641,27747529,27746694,27746655,27741937,27741935,27741918,27741864,27741848,27741799,27696530,27628504,27548851,27513088,27513076,27512120,27379522,27379495,27342878,27255085,27084653,27014226,26872264,26872232,26872221,26871815,26768151,26750908,26748399,26696552,26696543,26696531,26696480,26641534,26639941,26633439,26608534,26577697,26577509,26552387,26511723,26500579,26500566,26500558,26500549,26500525,26500510,26500502,26492367,26477692,26473825,26465020,26433558,26396867,26396853,26385649,26385614,26385599,26374930,26374677,26374634,26325733,26325675,26265031,26251926,26229956,26229913,26229828,26223833,26223821,26152271,26152196,26139874,26139861,26139850,26139826,26139811,26131396,26131376,26130849,26122150,26099996,26098978,26098968,26077654,26076780,26070281,26070153,25944467,25944455,25944429,25941129,25927882,25919607,25919596,25915159,25890961,25886052,25886040,25870034,25869107,25861232,25861196,25843726,25773912,25498165,25476751,25466932,25454466,25454453,25454297,25454264,25454201,25440930,25427869,25416696,25414652,25414640,25414622,25414616,25405192,25405166,25399063,25399032,25398713,25398671,25398645,25398625,25396659,25396645,25393454,25393414,25393355,25393335,25393313,25393285,25393270,25393220,25393170,25393072,25347788,25347418,25347388,25347368,25347331,25343355,25330625,25325763,25325730,25323127,25323121,25323116,25323107,25323099,25302123,25302106,25300470,25300441,25300438,25299828,25296123,25294600,25294570,25294530,25244207,25080535,25067687,25067679,25067675,25067655,25056482,25051987,25049036,25024898,25024867,25005490,24968311,24967352,24967327,24939901,24916601,24834561,24826729,24826358,24826111,24762663,24729106,24729061,24729044,24729039,24729022,24729010,24698230,24698220,24695715,24629576,24629567,24625799,24625366,24618099,24618083,24608094,24564570,24564391,24563503,24555165,24552079,24552069,24532208,24532205,24532197,24532158,24516204,24514384,24501801,24501782,24467680,24410706,24397989,24397981,23698634,23611923,23454680,23388541,23388528,22921831,22635773,22625551,22617019,22354409,22354396,22157540,21656902,21655559,21417366,21334672,21332178}"
0x00a,2017-03-08 17:25:58,1,Co-founder Voltra Co. (https:&#x2F;&#x2F;voltra.co),"{16221434,13821770}"
0x00cl,2024-05-18 17:29:22,17,https:&#x2F;&#x2F;0x00.cl,"{41108947,41011278,40984697,40954113,40806598,40786927,40684941,40635039,40545866}"
0x00f0ff,2018-04-05 21:30:12,1,,{19505544}
0x01100001,2019-07-24 23:31:57,1,,{20520755}
0x011721,2021-01-17 20:44:43,-1,,{25814789}
0x01h,2019-09-30 14:13:54,11,"https:&#x2F;&#x2F;www.linkedin.com&#x2F;in&#x2F;orçunözdemir
https:&#x2F;&#x2F;github.com&#x2F;0x01h","{23028154,23028142,21993078,21991567,21977694,21977688,21934505,21850271,21115023,21114990}"
0x0203,2020-07-31 13:45:03,236,,"{41671114,41367025,41353947,41353180,41353047,41241269,41050158,40894533,40723578,40723384,40723299,40612633,40567624,40507176,40444040,40444012,40442644,40432784,40403842,40297693,40296840,40296096,40283501,39983579,39983318,39917069,39738540,39730808,39642313,39640550,39510638,39288307,39176868,39117405,39093867,39093866,38758103,38643960,38627297,38626349,38626292,38602151,38249040,37926926,37309720,37221202,37079083,37058866,37057651,37057598,37057126,37041068,37035480,36946710,36786720,36726160,36439468,36439319,36438937,36367231,36363964,36337007,36336848,36336643,36336526,36305789,36305692,36294547,35639986,34199949,34111135,34111092,34111011,34110972,34110565,34110504,33913260,33445356,33438168,32861378,32694095,32691691,32534487,32534087,32512492,32286506,31506649,31129826,31027233,30991199,29228186,28993329,28465514,27557822,27539315,26955591,26815969,26567984,25686961,25685907,25685661}"
0x02A,2024-02-28 02:47:06,27,,"{39750401,39750374,39741248,39740705,39740671,39740347,39740312,39738750,39738713,39738561}"
0x035,2023-04-21 07:28:25,1,,{35650400}
0x037,2013-05-06 18:24:01,1,,{7285159}
0x04b030ba,2023-09-29 21:24:07,1,,{37709680}
